// 
radio,mcc,net,area,cell,unit,lon,lat,range,samples,changeable,created,updated,averageSignal
GSM,270,99,12,22222,0,6.120712,49.54384,11109,144,1,1309988245,1443599522,0
GSM,270,77,3,373,0,6.117055,49.538651,8815,2000,1,1309988245,1589189611,0
GSM,270,1,1010,15396,0,6.114561,49.536516,11764,2000,1,1309988245,1384491026,0
GSM,270,77,3,10373,0,6.115696,49.539976,21609,1068,1,1309988245,1328105111,0
GSM,270,77,3,10372,0,6.116469,49.542106,21646,1083,1,1309988245,1328105021,0
GSM,270,1,1010,15395,0,6.119189,49.543337,33462,2000,1,1309988245,1384316460,0
GSM,270,77,3,371,0,6.128847,49.546555,20749,1999,1,1309988245,1589859622,0
GSM,270,77,3,372,0,6.172506,49.543822,22131,1984,1,1309988245,1588027169,0
GSM,270,99,11,20223,0,6.119766,49.567414,2962,20,1,1309988245,1312162196,0
GSM,270,99,12,22221,0,6.121598,49.545951,10680,130,1,1309988245,1452760740,0
GSM,270,99,12,22241,0,6.122576,49.544038,11336,99,1,1309988245,1314321180,0
GSM,270,77,3,3792,0,6.133092,49.52107,23990,1980,1,1309988245,1588027169,0
GSM,270,99,11,20522,0,6.124774,49.549224,5366,10,1,1309988245,1312639819,0
GSM,270,77,1,11182,0,6.119617,49.550814,21667,176,1,1309988245,1328838181,0
GSM,270,77,3,3791,0,6.118745,49.541372,21631,1997,1,1309988245,1588027169,0
GSM,270,77,3,11192,0,6.139717,49.55002,23118,138,1,1309988245,1325770581,0
GSM,270,99,11,20222,0,6.126022,49.550171,1036,7,1,1309988245,1311049282,0
GSM,270,77,3,383,0,6.113847,49.527672,18809,1992,1,1309988245,1582606173,0
GSM,270,77,3,381,0,6.17948,49.531853,23813,1987,1,1309988245,1588553668,0
GSM,270,1,1010,15823,0,6.130001,49.55432,32425,386,1,1309988245,1384844090,0
GSM,270,99,12,22231,0,6.123757,49.545728,8585,71,1,1309988245,1314141588,0
GSM,270,77,3,10371,0,6.119414,49.545044,21835,707,1,1309988245,1328105021,0
GSM,270,77,6,1042,0,6.221591,49.534887,29085,837,1,1309988245,1575445150,0
GSM,270,1,1010,11147,0,6.118204,49.534842,21675,435,1,1309988245,1396260652,0
GSM,270,1,1010,15381,0,6.112597,49.533409,34519,2000,1,1309988245,1385012308,0
GSM,270,99,12,16122,0,6.148167,49.582977,14676,40,1,1309988245,1314673814,0
GSM,270,1,1010,12172,0,6.130181,49.570251,31061,593,1,1309988245,1372820040,0
GSM,270,77,1,2432,0,6.13134,49.618393,4590,2000,1,1309988245,1563436666,0
GSM,270,1,1010,15553,0,6.111084,49.532162,41929,2000,1,1309988245,1384767545,0
GSM,270,1,1010,15734,0,6.119752,49.543245,33436,1654,1,1309988245,1384844090,0
GSM,270,1,1030,15557,0,6.199341,49.591137,27817,866,1,1309988245,1391423355,0
GSM,270,77,6,1043,0,6.24116,49.555245,34412,1485,1,1309988245,1575445150,0
GSM,270,1,1010,15555,0,6.103184,49.540176,11491,255,1,1309988245,1381983059,0
GSM,270,77,1,1182,0,6.121886,49.552329,14199,597,1,1309988245,1400490394,0
GSM,270,1,1010,15283,0,6.114797,49.535595,34243,2000,1,1309988245,1384427874,0
GSM,270,77,1,10672,0,6.119841,49.55004,21685,115,1,1309988245,1329733428,0
GSM,270,99,12,12251,0,6.118096,49.544591,11039,36,1,1309988245,1314686404,0
GSM,270,99,12,14292,0,6.118963,49.541873,11025,130,1,1309988245,1314401846,0
GSM,270,99,12,22662,0,6.119587,49.544488,8899,31,1,1309988245,1314055376,0
GSM,270,99,11,20112,0,6.116811,49.557439,4988,25,1,1309988245,1312416782,0
GSM,270,1,1010,11150,0,6.086867,49.504302,50736,1711,1,1309988245,1384366064,0
GSM,270,99,12,12631,0,6.119574,49.546437,11196,50,1,1309988245,1315493540,0
GSM,270,1,1010,15599,0,6.112037,49.523358,12544,198,1,1309988245,1383219423,0
GSM,270,1,1010,15417,0,6.129055,49.569074,22398,186,1,1309988245,1377649674,0
GSM,270,99,12,14293,0,6.120438,49.543166,11163,129,1,1309988245,1314401846,0
GSM,270,1,1010,15176,0,6.077665,49.502674,24868,1296,1,1309988245,1383968757,0
GSM,270,77,3,3861,0,6.109517,49.521081,18911,1997,1,1309988245,1588027169,0
GSM,270,77,3,1192,0,6.196429,49.523123,16613,1304,1,1309988245,1573099600,0
GSM,270,77,1,2103,0,6.157274,49.570431,16292,1999,1,1309988245,1588027169,0
GSM,270,77,1,1183,0,6.127659,49.559709,14351,383,1,1309988245,1400490397,0
GSM,270,1,1010,12160,0,6.139917,49.571839,23202,372,1,1309988245,1372569177,0
GSM,270,77,3,10383,0,6.116411,49.532699,21572,276,1,1309988245,1329086113,0
GSM,270,77,1,1242,0,6.148836,49.606424,22096,2000,1,1309988245,1589859622,0
GSM,270,1,1030,15390,0,6.195704,49.58871,27522,795,1,1309988245,1384213930,0
GSM,270,77,1,752,0,6.160402,49.602995,25138,927,1,1309988245,1588917114,0
GSM,270,1,1010,15597,0,6.116947,49.508091,14266,268,1,1309988245,1382498163,0
GSM,270,99,12,22232,0,6.119119,49.5429,6179,30,1,1309988245,1314141588,0
GSM,270,1,1010,15850,0,6.074259,49.505775,19389,996,1,1309988245,1384363062,0
GSM,270,99,11,10273,0,6.107777,49.542646,10264,23,1,1309988245,1316425742,0
GSM,270,77,1,10532,0,6.114931,49.559753,21331,49,1,1309988245,1326102684,0
GSM,270,1,1030,15654,0,6.135666,49.550127,40786,98,1,1309988245,1387549264,0
GSM,270,99,12,16082,0,6.160948,49.571967,24715,110,1,1309988245,1323655048,0
GSM,270,77,3,13861,0,6.108884,49.533125,21027,166,1,1309988245,1329194659,0
GSM,270,99,12,12901,0,6.103518,49.539925,6193,21,1,1309988245,1313717434,0
GSM,270,99,12,12651,0,6.10988,49.519732,12930,48,1,1309988245,1324977777,0
GSM,270,99,12,14083,0,6.164215,49.570354,15114,53,1,1309988245,1314686404,0
GSM,270,99,12,12633,0,6.11263,49.543708,6908,28,1,1309988245,1315493540,0
GSM,270,77,1,10663,0,6.119203,49.561495,3830,41,1,1309988245,1329733428,0
GSM,270,99,11,12361,0,6.10045,49.556291,5937,9,1,1309988245,1311829225,0
GSM,270,1,1030,15531,0,6.50817,49.732788,53466,1240,1,1309991436,1399856469,0
GSM,270,99,12,24181,0,6.462907,49.714908,49661,54,1,1309991436,1315476028,0
GSM,270,77,6,461,0,6.510335,49.722445,17628,1986,1,1309991436,1591348280,0
GSM,270,77,6,3092,0,6.499702,49.725712,17753,1983,1,1309991436,1589783332,0
GSM,270,99,12,26522,0,6.455652,49.711086,49023,43,1,1309991436,1315476028,0
GSM,270,1,1030,15213,0,6.502604,49.728688,52929,1225,1,1309991436,1404362354,0
GSM,270,77,6,10461,0,6.497558,49.727868,52557,753,1,1309991436,1328520061,0
GSM,270,77,6,462,0,6.515187,49.718162,12664,1983,1,1309991436,1591079136,0
GSM,270,1,1030,15684,0,6.502824,49.731451,53054,1231,1,1309991436,1422866901,0
GSM,270,77,6,10462,0,6.495498,49.727661,52411,699,1,1309991436,1328520241,0
GSM,270,1,1030,15532,0,6.498247,49.726359,52544,1024,1,1309991436,1400027855,0
GSM,270,77,6,2851,0,6.518815,49.719781,12302,1958,1,1309991436,1591163635,0
GSM,270,77,6,511,0,6.4528,49.681245,18206,1997,1,1309991436,1589443035,0
GSM,270,99,12,24183,0,6.451104,49.707021,48559,50,1,1309991436,1315476028,0
GSM,270,99,12,24182,0,6.465377,49.714992,49831,43,1,1309991436,1315472355,0
GSM,270,1,1030,15533,0,6.475176,49.703418,42389,1544,1,1309991436,1400027855,0
GSM,270,77,6,463,0,6.484154,49.700455,12524,1997,1,1309991436,1591163764,0
GSM,270,77,6,10511,0,6.476187,49.710348,50381,185,1,1309991436,1329977911,0
GSM,270,77,6,3091,0,6.54111,49.764941,39196,1736,1,1309995492,1589267874,0
GSM,270,99,12,14241,0,6.467738,49.711151,49840,119,1,1309995492,1324298774,0
GSM,270,99,12,26521,0,6.438786,49.717502,48151,13,1,1309995492,1315461759,0
GSM,270,1,1030,15145,0,6.498632,49.72779,43916,617,1,1309995738,1404965399,0
GSM,270,99,12,22601,0,6.124708,49.546805,8453,24,1,1310133900,1314141588,0
GSM,270,99,12,22611,0,6.104312,49.540218,10197,28,1,1310133900,1574014148,0
GSM,270,77,3,1813,0,6.089372,49.530621,17839,837,1,1310133900,1588027169,0
GSM,270,1,1010,15178,0,6.070059,49.498906,12343,1266,1,1310133900,1384368503,0
GSM,270,77,3,13791,0,6.115352,49.541127,21409,259,1,1310133900,1328079767,0
GSM,270,99,12,22252,0,6.125167,49.548831,5388,8,1,1310133900,1314141588,0
GSM,270,77,3,2541,0,6.041457,49.52917,20517,432,1,1310133900,1583113903,0
GSM,270,1,1010,15226,0,6.083166,49.509742,19884,746,1,1310133900,1383188280,0
GSM,270,77,1,362,0,6.120192,49.548117,23243,468,1,1310133900,1400490573,0
GSM,270,1,1010,15317,0,6.112404,49.543155,21182,146,1,1310133900,1384427213,0
GSM,270,1,1010,15704,0,6.116563,49.542751,21484,158,1,1310133900,1392023887,0
GSM,270,77,3,1811,0,6.159432,49.496443,25312,581,1,1310133900,1588027169,0
GSM,270,1,1010,15474,0,6.11555,49.540686,5030,42,1,1310133900,1408953543,0
GSM,270,77,3,13792,0,6.114839,49.532311,21465,291,1,1310133900,1328079857,0
GSM,270,99,12,22602,0,6.118011,49.541473,1000,2,1,1310133900,1313048063,0
GSM,270,99,12,22243,0,6.104045,49.536021,9835,24,1,1310133900,1314321180,0
GSM,270,77,3,10271,0,6.191272,49.472289,42511,490,1,1310133900,1505270773,0
GSM,270,77,3,3943,0,6.06844,49.515708,10326,194,1,1310133900,1552963815,0
GSM,270,1,1010,15284,0,6.106209,49.514823,4405,43,1,1310133900,1379989834,0
GSM,270,1,1010,15851,0,6.100727,49.535161,10730,99,1,1310133900,1384366724,0
GSM,270,77,3,3793,0,6.076567,49.514249,12238,240,1,1310133900,1582606173,0
GSM,270,77,3,253,0,6.085689,49.502711,11231,128,1,1310133900,1526543369,0
GSM,270,1,1010,15383,0,6.114589,49.516767,14070,342,1,1310133900,1383574403,0
GSM,270,1,1010,15227,0,6.10332,49.534785,9054,16,1,1310133900,1376968801,0
GSM,270,77,3,10343,0,6.045519,49.523299,11308,49,1,1310133900,1543286770,0
GSM,270,77,1,1953,0,6.193487,49.59183,27410,1724,1,1310133900,1395733521,0
GSM,270,77,3,10251,0,6.118214,49.541327,21613,100,1,1310133900,1328770407,0
GSM,270,99,12,22603,0,6.093118,49.539764,5329,10,1,1310133900,1313801495,0
GSM,270,99,12,12632,0,6.12135,49.536667,6703,16,1,1310133900,1315298497,0
GSM,270,1,1010,15037,0,6.020024,49.524739,13738,342,1,1310133900,1382953092,0
GSM,270,77,3,283,0,6.190752,49.524928,15950,924,1,1310133900,1576714137,0
GSM,270,77,1,14753,0,6.136935,49.572668,18558,183,1,1310133900,1328744720,0
GSM,270,77,1,662,0,6.139235,49.577356,15819,450,1,1310133900,1558776824,0
GSM,270,77,3,282,0,6.176354,49.508579,26256,1447,1,1310133900,1563140188,0
GSM,270,99,14,25092,0,6.138647,49.631589,16582,410,1,1310133900,1421226870,0
GSM,270,99,11,20383,0,6.124876,49.565644,3929,20,1,1310133900,1311834740,0
GSM,270,1,1010,15590,0,6.14859,49.506526,10934,262,1,1310133900,1389588943,0
GSM,270,77,1,832,0,6.180447,49.587527,26414,1073,1,1310133900,1400803430,0
GSM,270,99,12,22551,0,6.045324,49.53668,15583,33,1,1310133900,1313717434,0
GSM,270,99,14,25062,0,6.119456,49.607568,14603,114,1,1310133900,1418950431,0
GSM,270,77,3,10381,0,6.119428,49.507869,11693,139,1,1310133900,1328105291,0
GSM,270,77,6,1053,0,6.259687,49.510332,32142,664,1,1310133900,1589958041,0
GSM,270,99,11,20332,0,6.118011,49.54216,1000,9,1,1310133900,1313826720,0
GSM,270,99,12,22552,0,6.058898,49.539704,14956,30,1,1310133900,1313717434,0
GSM,270,99,12,24133,0,6.123114,49.538003,6513,37,1,1310133900,1315255069,0
GSM,270,99,12,12652,0,6.114221,49.459763,9165,29,1,1310133900,1326246067,0
GSM,270,99,12,22242,0,6.121528,49.536839,6681,17,1,1310346457,1314279507,0
GSM,270,1,1010,11149,0,6.136407,49.548516,22884,57,1,1310346457,1395137806,0
GSM,270,77,1,672,0,6.144489,49.56606,23460,1859,1,1310346457,1571117111,0
GSM,270,1,1030,15124,0,6.203163,49.594964,28150,719,1,1310346457,1392956700,0
GSM,270,77,2,792,0,6.128992,49.647134,7612,1999,1,1310346457,1589853926,0
GSM,270,1,1010,15053,0,6.128136,49.560307,31816,762,1,1310346457,1384316521,0
GSM,270,99,12,22481,0,6.125169,49.546796,8429,56,1,1310346457,1311900796,0
GSM,270,1,1010,15817,0,6.14213,49.609256,7650,63,1,1310346457,1365384413,0
GSM,270,1,1010,15736,0,6.116388,49.534254,34247,2000,1,1310346457,1384828653,0
GSM,270,1,1010,15840,0,6.11775,49.593327,7751,35,1,1310346457,1369986374,0
GSM,270,77,1,12571,0,6.096467,49.565252,20025,182,1,1310346457,1358480730,0
GSM,270,1,1010,15705,0,6.146409,49.578386,8548,69,1,1310346457,1363599827,0
GSM,270,99,12,14291,0,6.133203,49.550012,7877,8,1,1310346457,1314333756,0
GSM,270,99,11,10272,0,6.138455,49.553153,7537,5,1,1310346457,1316380352,0
GSM,270,77,3,4151,0,5.991947,49.514456,12530,207,1,1310412614,1590556684,0
GSM,270,77,1,2102,0,6.196101,49.589757,21481,1996,1,1310412614,1589859622,0
GSM,270,1,1030,15032,0,6.20085,49.618473,28408,402,1,1310412614,1389743568,0
GSM,270,1,1030,15477,0,6.200917,49.620503,28554,1432,1,1310412614,1408433793,0
GSM,270,77,1,10832,0,6.173736,49.585184,9371,65,1,1310412614,1327970489,0
GSM,270,77,3,12542,0,6.088516,49.53594,19532,37,1,1310412614,1326337201,0
GSM,270,99,12,14143,0,6.133193,49.533219,14349,32,1,1310412614,1317794443,0
GSM,270,1,1010,15752,0,6.07708,49.566007,13705,678,1,1310412614,1363559856,0
GSM,270,99,11,10292,0,6.117668,49.541473,1000,7,1,1310412614,1313033702,0
GSM,270,1,1030,15440,0,6.129335,49.535547,22859,74,1,1310412614,1389003632,0
GSM,270,1,1010,15247,0,6.151056,49.581508,24230,610,1,1310412614,1384581705,0
GSM,270,99,12,14152,0,6.116929,49.503316,10954,10,1,1310412614,1314401846,0
GSM,270,77,1,10833,0,6.215524,49.638926,9699,64,1,1310412614,1327675226,0
GSM,270,99,12,16083,0,6.175854,49.631106,34924,9,1,1310412614,1320905802,0
GSM,270,1,1010,15285,0,6.092057,49.520892,10508,53,1,1310415096,1384430633,0
GSM,270,1,1010,15140,0,6.085535,49.524872,8024,27,1,1310415096,1381978425,0
GSM,270,77,6,842,0,6.215048,49.574986,19198,1021,1,1310415593,1589859622,0
GSM,270,77,3,2341,0,6.1173248291016,49.54216003418,1000,2,1,1310415593,1315255022,0
GSM,270,99,12,24213,0,6.117668,49.541473,1000,5,1,1310571688,1313481369,0
GSM,270,99,11,20243,0,6.1186981201172,49.543533325195,1000,2,1,1310571688,1311550278,0
GSM,270,77,6,11043,0,6.175304,49.55694,11262,6,1,1310571688,1318555280,0
GSM,270,77,1,12432,0,6.131163,49.618185,2262,500,1,1310571688,1502855433,0
GSM,270,99,11,10062,0,6.1186981201172,49.54216003418,1000,2,1,1310571688,1312202958,0
GSM,270,1,1030,14128,0,6.420018,49.728837,30029,168,1,1310574441,1393320491,0
GSM,270,77,2,1281,0,6.449829,49.854466,21679,1007,1,1310650219,1589327605,0
GSM,270,99,12,26151,0,6.540985,49.904709,1000,4,1,1310650219,1313988588,0
GSM,270,1,1030,15539,0,6.419796,49.826926,20741,417,1,1310651478,1409134986,0
GSM,270,77,2,3041,0,6.470218,49.806505,30040,786,1,1310652992,1585365606,0
GSM,270,99,11,22193,0,6.018822,49.532797,1000,11,1,1310682168,1310682168,0
GSM,270,77,3,4361,0,6.023015,49.539955,9364,301,1,1310700430,1590557711,0
GSM,270,77,3,1351,0,6.023228,49.528549,33246,702,1,1310700430,1589261635,0
GSM,270,77,3,4363,0,6.004597,49.522841,9213,359,1,1310700430,1583114950,0
GSM,270,1,1010,15519,0,6.024099,49.536323,45514,934,1,1310700430,1392494248,0
GSM,270,99,12,22661,0,6.007207,49.522985,16803,27,1,1310700430,1313992806,0
GSM,270,1,1010,15218,0,6.016806,49.530754,43630,548,1,1310700430,1383183420,0
GSM,270,1,1010,15852,0,6.041021,49.506968,6577,257,1,1310700430,1384366785,0
GSM,270,99,11,22191,0,6.032455,49.541062,1385,10,1,1310682168,1310682168,0
GSM,270,1,1010,15518,0,6.060433,49.506583,42569,1328,1,1310700430,1392595595,0
GSM,270,77,3,341,0,5.994208,49.5169,19752,397,1,1310700430,1583113841,0
GSM,270,1,1010,15517,0,6.038747,49.545816,41403,1545,1,1310700430,1392496347,0
GSM,270,77,3,363,0,6.037259,49.542177,13302,857,1,1310700430,1583116601,0
GSM,270,99,11,12362,0,6.038816,49.545136,2030,6,1,1310682168,1310682168,0
GSM,270,1,1010,11152,0,6.071575,49.497729,9506,1424,1,1310700430,1384364923,0
GSM,270,77,3,14361,0,6.022977,49.533592,4550,50,1,1310700430,1327495710,0
GSM,270,1,1010,15884,0,6.042811,49.548386,16254,1039,1,1310700430,1389922887,0
GSM,270,99,11,22192,0,6.019135,49.533234,1000,2,1,1310682168,1310682168,0
GSM,270,77,3,11581,0,6.035789,49.51481,3542,24,1,1310700430,1327495710,0
GSM,270,77,3,11351,0,6.01797,49.524594,7375,262,1,1310700430,1566380874,0
GSM,270,1,1010,15332,0,6.006652,49.521455,13704,360,1,1310700430,1383188583,0
GSM,270,77,3,1583,0,6.03116,49.513539,9196,111,1,1310700430,1528852497,0
GSM,270,77,3,14363,0,6.010963,49.522159,3600,69,1,1310700430,1328069387,0
GSM,270,1,1010,15127,0,6.020055,49.534186,7366,140,1,1310700430,1399285877,0
GSM,270,99,11,22042,0,6.022018,49.581711,5316,5,1,1310680362,1310680362,0
GSM,270,77,3,12541,0,6.030979,49.525988,6580,124,1,1310700430,1566380874,0
GSM,270,77,3,11352,0,6.00974,49.521215,5446,129,1,1310700430,1566380874,0
GSM,270,1,1010,15415,0,6.048114,49.508207,6465,77,1,1310700430,1384221031,0
GSM,270,77,3,12543,0,5.988998,49.5128,5465,114,1,1310700430,1566380874,0
GSM,270,1,1010,15345,0,5.994415,49.514008,2875,12,1,1310700430,1359013748,0
GSM,270,77,3,11583,0,6.034401,49.508779,4552,26,1,1310700430,1328846494,0
GSM,270,1,1010,15128,0,5.997969,49.52191,13714,615,1,1310700430,1399378469,0
GSM,270,99,11,22912,0,6.057925,49.554179,3554,4,1,1310680362,1310680362,0
GSM,270,77,3,10341,0,5.986157,49.509782,5449,79,1,1310700430,1553131922,0
GSM,270,99,12,12521,0,6.0198211669922,49.533920288086,1000,1,1,1310680362,1310680362,0
GSM,270,77,3,13351,0,5.969082,49.512908,11626,151,1,1310700430,1549857771,0
GSM,270,77,3,4362,0,6.111715,49.510822,25303,313,1,1310702314,1552963815,0
GSM,270,77,3,1352,0,6.031151,49.516632,29143,341,1,1310702314,1583113903,0
GSM,270,1,1010,15662,0,6.00904,49.5226,10711,65,1,1310702314,1381978425,0
GSM,270,1,1010,12281,0,5.941048,49.508597,8054,789,1,1310702314,1381983059,0
GSM,270,1,1010,15210,0,5.996836,49.524552,7206,102,1,1310702314,1383531058,0
GSM,270,77,4,782,0,5.981706,49.580779,11191,123,1,1310702314,1553070948,0
GSM,270,77,3,10344,0,5.982711,49.508098,3748,46,1,1310702314,1485230164,0
GSM,270,1,1010,15182,0,6.011626,49.52319,4397,27,1,1310702314,1381983059,0
GSM,270,1,1010,12282,0,5.938985,49.507462,6263,1080,1,1310702314,1381277912,0
GSM,270,77,4,10321,0,5.972583,49.533935,6612,10,1,1310702314,1327495710,0
GSM,270,77,3,1193,0,6.16472,49.563876,15225,1336,1,1311068267,1589441244,0
GSM,270,99,12,24212,0,6.1186981201172,49.54216003418,1000,1,1,1311049282,1311049282,0
GSM,270,1,1030,15868,0,6.181869,49.525742,15801,135,1,1311069428,1389588462,0
GSM,270,1,1010,15822,0,6.169277,49.527037,19643,21,1,1311069428,1380628836,0
GSM,270,77,1,11212,0,6.135993,49.605057,7168,543,1,1311069428,1549936645,0
GSM,270,1,1030,15242,0,6.458625,49.693253,13180,2000,1,1311083928,1402958929,0
GSM,270,77,6,4691,0,6.463091,49.689032,14328,1994,1,1311083928,1589442312,0
GSM,270,77,6,14691,0,6.477034,49.704933,10494,208,1,1311083928,1328071188,0
GSM,270,1,1030,15580,0,6.43782,49.685875,28669,1798,1,1311083928,1392642613,0
GSM,270,99,12,14321,0,6.458937,49.694467,4390,21,1,1311083928,1315255497,0
GSM,270,1,1030,15788,0,6.452524,49.679443,26111,959,1,1311083928,1398153080,0
GSM,270,1,1030,15243,0,6.447619,49.682116,12607,1865,1,1311083928,1402958867,0
GSM,270,1,1030,20356,0,6.485024,49.713327,37096,205,1,1311083928,1402639875,0
GSM,270,1,1030,15510,0,6.451624,49.68885,48004,1951,1,1311083928,1402670649,0
GSM,270,77,6,10463,0,6.487791,49.716611,43952,254,1,1311083928,1328518419,0
GSM,270,1,1030,15581,0,6.445392,49.665888,15584,227,1,1311083928,1391240377,0
GSM,270,77,6,14692,0,6.460298,49.695345,7838,136,1,1311083928,1328519521,0
GSM,270,77,6,10512,0,6.435951,49.667986,14521,27,1,1311083928,1326961966,0
GSM,270,1,1030,20357,0,6.446478,49.675766,25384,311,1,1311083928,1402639875,0
GSM,270,1,1030,15484,0,6.416354,49.686923,28368,2000,1,1311083928,1398156738,0
GSM,270,77,6,2852,0,6.446125,49.677155,21309,1994,1,1311083928,1589356615,0
GSM,270,77,6,10481,0,6.414844,49.68837,18832,261,1,1311083928,1328096740,0
GSM,270,1,1030,15244,0,6.444006,49.687996,29999,1964,1,1311083928,1402940774,0
GSM,270,77,6,512,0,6.43395,49.643306,23703,1996,1,1311083928,1588026566,0
GSM,270,77,6,4692,0,6.441748,49.674884,10892,1996,1,1311083928,1589339632,0
GSM,270,99,12,16101,0,6.451975,49.700235,40941,44,1,1311083928,1321967149,0
GSM,270,77,6,10513,0,6.374386,49.664765,18066,120,1,1311083928,1328070828,0
GSM,270,1,1030,20358,0,6.442358,49.671999,15029,871,1,1311083928,1402535723,0
GSM,270,77,6,513,0,6.39402,49.660409,25087,1996,1,1311083928,1589415629,0
GSM,270,99,12,14242,0,6.501111,49.70674,9143,6,1,1311083928,1321082691,0
GSM,270,77,6,10501,0,6.433117,49.693924,39573,58,1,1311083928,1327999410,0
GSM,270,77,6,10483,0,6.401724,49.694712,18823,173,1,1311083928,1328141122,0
GSM,270,77,6,14693,0,6.459851,49.699182,8409,89,1,1311083928,1329214225,0
GSM,270,1,1030,15583,0,6.375683,49.673851,26813,925,1,1311083928,1392421975,0
GSM,270,1,1030,15556,0,6.213823,49.595905,35893,719,1,1311086378,1382359443,0
GSM,270,99,12,14081,0,6.209603,49.593753,8813,30,1,1311086378,1314350132,0
GSM,270,1,1030,15558,0,6.211167,49.597732,10821,885,1,1311086378,1392709047,0
GSM,270,77,1,1952,0,6.225136,49.594971,31159,1203,1,1311086378,1400822226,0
GSM,270,99,12,24123,0,6.20639,49.593509,8623,36,1,1311086378,1314350132,0
GSM,270,1,1030,15441,0,6.211316,49.596653,9429,810,1,1311086378,1392709047,0
GSM,270,77,1,843,0,6.207771,49.598093,28719,1392,1,1311086378,1399337361,0
GSM,270,77,1,10843,0,6.209767,49.595721,9189,212,1,1311086378,1327649300,0
GSM,270,77,1,11252,0,6.214964,49.59772,17064,145,1,1311086378,1327643644,0
GSM,270,77,1,11253,0,6.213748,49.597227,9293,112,1,1311086378,1328273652,0
GSM,270,77,1,10841,0,6.223171,49.599543,32056,90,1,1311086378,1327642211,0
GSM,270,1,1030,15126,0,6.220633,49.600962,35148,769,1,1311086378,1391478081,0
GSM,270,77,1,1253,0,6.211521,49.600233,9709,1128,1,1311086378,1399337361,0
GSM,270,77,1,841,0,6.220113,49.601294,32751,814,1,1311086378,1400652327,0
GSM,270,77,1,1252,0,6.247465,49.600177,18915,1262,1,1311086378,1400803430,0
GSM,270,1,1030,15389,0,6.208772,49.59825,21148,369,1,1311086378,1390886535,0
GSM,270,99,12,24002,0,6.205774,49.591981,8476,29,1,1311086378,1315276357,0
GSM,270,1,1030,15125,0,6.221476,49.620679,35337,588,1,1311086378,1391392135,0
GSM,270,77,1,1251,0,6.2244,49.628447,32838,636,1,1311086378,1400652327,0
GSM,270,1,1030,12268,0,6.218213,49.609303,10466,277,1,1311086378,1386745216,0
GSM,270,77,1,3362,0,6.208188,49.598856,9129,457,1,1311086378,1395893206,0
GSM,270,77,1,1752,0,6.306216,49.620414,18639,1314,1,1311086378,1400740391,0
GSM,270,77,1,1951,0,6.216711,49.609225,34702,1497,1,1311086634,1400028803,0
GSM,270,99,12,14082,0,6.205692,49.593298,8570,34,1,1311086634,1314350132,0
GSM,270,1,1030,15439,0,6.339922,49.538404,15968,44,1,1311086634,1387488444,0
GSM,270,77,1,813,0,6.231828,49.635705,31148,552,1,1311086634,1400634280,0
GSM,270,99,12,14373,0,6.205052,49.590992,8364,9,1,1311086634,1314957582,0
GSM,270,99,12,14041,0,6.197095,49.586524,7605,10,1,1311087273,1314334770,0
GSM,270,1,1030,15582,0,6.377419,49.667197,25481,342,1,1311161620,1392421914,0
GSM,270,1,1030,15144,0,6.493335,49.711567,8822,270,1,1311164576,1405498272,0
GSM,270,77,6,481,0,6.443222,49.679929,22417,1975,1,1311164576,1591078192,0
GSM,270,1,1030,15470,0,6.218451,49.615375,30449,461,1,1311168442,1386723372,0
GSM,270,99,12,26352,0,6.2340545654297,49.647903442383,1000,2,1,1311168442,1314249006,0
GSM,270,77,1,823,0,6.268697,49.646601,17262,998,1,1311168442,1400740391,0
GSM,270,99,12,26351,0,6.314176,49.665193,21851,9,1,1311168442,1444340561,0
GSM,270,1,1030,13130,0,6.254761,49.637818,19924,2000,1,1311168442,1398210366,0
GSM,270,1,1030,30061,0,6.227334,49.620869,30409,1094,1,1311168442,1371445558,0
GSM,270,99,12,14072,0,6.265642,49.645161,2295,3,1,1311168442,1314254360,0
GSM,270,77,6,503,0,6.300625,49.627663,20983,1999,1,1311168442,1589509433,0
GSM,270,77,1,1753,0,6.253158,49.642759,18458,1882,1,1311168442,1400740383,0
GSM,270,1,1030,15469,0,6.225951,49.618185,33532,1239,1,1311168442,1398035587,0
GSM,270,1,1030,15428,0,6.286675,49.640163,25651,2000,1,1311168442,1398297246,0
GSM,270,99,12,24063,0,6.243217,49.651115,4007,4,1,1311168442,1441699965,0
GSM,270,1,1030,13129,0,6.206181,49.610124,27488,534,1,1311168442,1397722802,0
GSM,270,77,6,5263,0,6.276621,49.603878,10805,2000,1,1311168442,1559890494,0
GSM,270,77,1,10823,0,6.272567,49.641247,7285,133,1,1311168442,1328768332,0
GSM,270,77,1,822,0,6.27048,49.644603,17239,1514,1,1311168442,1400740391,0
GSM,270,99,12,24062,0,6.224437,49.623185,2835,2,1,1311168442,1314955871,0
GSM,270,77,5,3001,0,6.052842,50.060983,12835,162,1,1311175122,1589158648,0
GSM,270,99,14,25532,0,6.016299,50.056589,17612,40,1,1311175122,1404782750,0
GSM,270,1,1030,15857,0,5.989033,50.065503,6530,13,1,1311175122,1401985180,0
GSM,270,99,14,25531,0,5.977403,50.0811,9393,27,1,1311175122,1416279314,0
GSM,270,99,14,25533,0,5.973625,50.06701,4672,11,1,1311175122,1395135241,0
GSM,270,77,5,3002,0,5.983912,50.042032,18690,58,1,1311175122,1536223045,0
